DATAFLOW,SEXP: Sex,PCHAR: Selected person characteristic,REGION: Region,REGION_TYPE: Region Type,STATE: State,TIME_PERIOD: Time Period,OBS_VALUE
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2899: 2899,POA: Postal Areas,9: Other Territories,2021,2188
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3400: 3400,POA: Postal Areas,2: Victoria,2021,15134
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3792: 3792,POA: Postal Areas,2: Victoria,2021,1046
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,5304: 5304,POA: Postal Areas,4: South Australia,2021,840
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3943: 3943,POA: Postal Areas,2: Victoria,2021,2013
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,4877: 4877,POA: Postal Areas,3: Queensland,2021,5462
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,5640: 5640,POA: Postal Areas,4: South Australia,2021,1029
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2568: 2568,POA: Postal Areas,1: New South Wales,2021,1252
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2681: 2681,POA: Postal Areas,1: New South Wales,2021,1793
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3111: 3111,POA: Postal Areas,2: Victoria,2021,12644
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,6041: 6041,POA: Postal Areas,5: Western Australia,2021,1597
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,6440: 6440,POA: Postal Areas,5: Western Australia,2021,1333
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,6770: 6770,POA: Postal Areas,5: Western Australia,2021,3149
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2225: 2225,POA: Postal Areas,1: New South Wales,2021,5560
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,6350: 6350,POA: Postal Areas,5: Western Australia,2021,335
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,6537: 6537,POA: Postal Areas,5: Western Australia,2021,995
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3330: 3330,POA: Postal Areas,2: Victoria,2021,208
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3701: 3701,POA: Postal Areas,2: Victoria,2021,1101
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2808: 2808,POA: Postal Areas,1: New South Wales,2021,216
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3254: 3254,POA: Postal Areas,2: Victoria,2021,358
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3531: 3531,POA: Postal Areas,2: Victoria,2021,194
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,4515: 4515,POA: Postal Areas,3: Queensland,2021,4467
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,4720: 4720,POA: Postal Areas,3: Queensland,2021,15031
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,5453: 5453,POA: Postal Areas,4: South Australia,2021,5100
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2905: 2905,POA: Postal Areas,8: Australian Capital Territory,2021,28731
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,6368: 6368,POA: Postal Areas,5: Western Australia,2021,85
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2010: 2010,POA: Postal Areas,1: New South Wales,2021,26443
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2346: 2346,POA: Postal Areas,1: New South Wales,2021,3033
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2705: 2705,POA: Postal Areas,1: New South Wales,2021,10687
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3413: 3413,POA: Postal Areas,2: Victoria,2021,196
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,4740: 4740,POA: Postal Areas,3: Queensland,2021,85500
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,5091: 5091,POA: Postal Areas,4: South Australia,2021,7872
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,5222: 5222,POA: Postal Areas,4: South Australia,2021,678
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,6051: 6051,POA: Postal Areas,5: Western Australia,2021,13199
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2603: 2603,POA: Postal Areas,8: Australian Capital Territory,2021,10306
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2379: 2379,POA: Postal Areas,1: New South Wales,2021,291
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,4132: 4132,POA: Postal Areas,3: Queensland,2021,27070
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,5068: 5068,POA: Postal Areas,4: South Australia,2021,12648
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2282: 2282,POA: Postal Areas,1: New South Wales,2021,16146
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3862: 3862,POA: Postal Areas,2: Victoria,2021,3547
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3319: 3319,POA: Postal Areas,2: Victoria,2021,410
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,0852: 0852,POA: Postal Areas,7: Northern Territory,2021,8735
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2074: 2074,POA: Postal Areas,1: New South Wales,2021,23423
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2220: 2220,POA: Postal Areas,1: New South Wales,2021,33761
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3045: 3045,POA: Postal Areas,2: Victoria,2021,64
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2319: 2319,POA: Postal Areas,1: New South Wales,2021,6887
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,6147: 6147,POA: Postal Areas,5: Western Australia,2021,15038
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,7139: 7139,POA: Postal Areas,6: Tasmania,2021,8
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2644: 2644,POA: Postal Areas,1: New South Wales,2021,2442
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,5023: 5023,POA: Postal Areas,4: South Australia,2021,17880
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,4287: 4287,POA: Postal Areas,3: Queensland,2021,938
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,4574: 4574,POA: Postal Areas,3: Queensland,2021,1432
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3614: 3614,POA: Postal Areas,2: Victoria,2021,927
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,7163: 7163,POA: Postal Areas,6: Tasmania,2021,397
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,4670: 4670,POA: Postal Areas,3: Queensland,2021,84718
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,7216: 7216,POA: Postal Areas,6: Tasmania,2021,3563
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2080: 2080,POA: Postal Areas,1: New South Wales,2021,1766
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,5015: 5015,POA: Postal Areas,4: South Australia,2021,6006
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,6452: 6452,POA: Postal Areas,5: Western Australia,2021,4
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,6152: 6152,POA: Postal Areas,5: Western Australia,2021,26227
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,2823: 2823,POA: Postal Areas,1: New South Wales,2021,1340
ABS:C21_G01_POA(1.0.0),3: Persons,P_1: Total persons,3912: 3912,POA: Postal Areas,2: Victoria,2021,15633
