Postcode,House,Semi-detached,Apartment,Other dwelling,"No bedrooms (studios, etc)",1 bedroom,2 bedrooms,3 bedrooms,4 bedrooms,5 bedrooms,6 or more bedrooms,Couple with no children,Couple with children,One parent with children,Other family,Sole person household,Group household,People with Mental Health Conditions,Total People,State
2108,1258,8,126,0,4,44,190,493,467,192,58,611,327,128,6,378,25,83,1740,1: New South Wales
2110,4510,722,1161,7,0,574,1522,2122,1888,946,235,1896,2808,577,48,1908,128,518,9846,1: New South Wales
2111,5599,1593,5107,28,108,2433,5602,3761,2485,977,174,4038,4459,1345,191,5324,347,1122,15456,1: New South Wales
2112,12134,2918,13645,8,139,6433,13944,8574,5098,1948,439,9342,12202,3202,572,10256,1474,2112,38026,1: New South Wales
2113,7347,2181,11609,10,194,7153,10630,5213,3076,1288,276,8096,7699,2044,531,8118,1639,1664,27637,1: New South Wales
2114,7757,1680,10084,100,172,4413,10146,6323,2854,1133,262,7004,7582,2091,435,7410,1061,1408,25267,1: New South Wales
2115,5161,1814,1537,18,241,637,2434,3644,2242,750,125,2169,4119,1197,123,2335,281,868,12686,1: New South Wales
2116,2670,1644,696,0,44,568,1288,2728,1107,297,66,1238,2428,785,61,1477,237,450,7274,1: New South Wales
2117,8032,5050,1995,22,205,1212,4033,6700,4418,1467,288,3847,7330,2245,198,4510,528,1361,22185,1: New South Wales
2118,10486,2236,5348,0,45,931,6165,7138,5200,1757,458,4661,10653,2466,269,3291,550,1117,27888,1: New South Wales
2119,6803,409,881,4,3,425,1085,2340,3146,1430,262,2392,4193,652,53,1387,81,648,12458,1: New South Wales
2120,11295,1617,1252,6,82,723,2101,5195,5417,1650,326,3808,6968,1598,124,2822,288,1429,20988,1: New South Wales
2121,11570,2183,9884,0,127,2926,10516,7495,5710,2110,518,7229,12624,2828,361,5353,1278,1470,34209,1: New South Wales
2122,9887,6764,5732,100,134,2068,11308,7681,4440,2083,660,7146,9807,2684,384,7156,1620,1593,31187,1: New South Wales
2125,9535,682,292,0,0,243,497,2074,5034,2514,547,2917,5711,813,72,1392,82,864,16620,1: New South Wales
2126,9680,2046,155,4,16,197,749,3288,6630,1788,242,3075,7068,1053,57,1666,80,906,19082,1: New South Wales
2127,1499,676,17783,0,27,8444,15104,4415,1008,56,0,9489,7373,1899,344,8680,1529,994,23198,1: New South Wales
2128,482,331,747,0,54,296,787,712,182,38,11,512,772,214,28,501,91,83,3600,1: New South Wales
2130,1231,1051,3926,6,86,1556,4503,1649,633,151,52,2319,1895,712,107,3075,592,893,7288,1: New South Wales
2131,4102,1361,12956,91,483,3830,14159,4662,1613,435,195,6778,5476,2157,464,8617,2237,2150,23012,1: New South Wales
2132,4061,1270,1986,66,61,747,2981,2820,1557,545,195,2130,3226,978,128,2207,394,708,10755,1: New South Wales
2133,3777,2229,1898,40,37,678,3490,3176,1828,578,159,1997,3630,1146,151,2833,278,722,10929,1: New South Wales
2134,2862,1251,9075,133,346,2977,9222,3536,1301,557,308,5117,3859,1636,612,4589,2842,742,18224,1: New South Wales
2135,7793,795,8456,76,359,2259,8859,4094,2951,2106,794,5786,6320,1530,745,4570,2878,1031,25915,1: New South Wales
2136,2652,1131,1646,26,36,490,2496,2074,1098,430,131,1492,2556,882,97,1592,252,423,7763,1: New South Wales
2137,8977,1953,9320,288,42,2555,8260,9771,3820,1248,270,8086,8388,2486,316,6186,880,1389,27726,1: New South Wales
