,Postcode,State,Latitude,Longitude,Remoteness Area
332,2400,NSW,-29.474921,149.462148,3
333,2401,NSW,-29.611901,150.331619,3
334,2402,NSW,-29.441821,150.547545,3
335,2403,NSW,-29.46368911,150.7837543,3
336,2404,NSW,-29.83711766,150.4165507,3
337,2405,NSW,-28.894651,149.647249,3
338,2406,NSW,-28.893724,148.847796,3
339,2408,NSW,-29.02809007,150.5788791,3
340,2409,NSW,-28.707837,150.185847,3
341,2410,NSW,-28.70513532,150.6884812,3
342,2411,NSW,-29.131193,150.307886,3
343,2415,NSW,-32.306267,151.888327,4
344,2420,NSW,-32.239696,151.685456,3
345,2421,NSW,-32.601853,151.543017,3
346,2422,NSW,-31.973082,151.865806,3
347,2423,NSW,-32.364861,152.270901,3
348,2424,NSW,-31.6402,151.964845,3
349,2425,NSW,-32.417598,152.002451,3
350,2426,NSW,-31.817926,152.595335,3
351,2427,NSW,-31.842318,152.686583,3
352,2428,NSW,-32.196739,152.454216,2
353,2429,NSW,-31.770375,152.292395,2
354,2430,NSW,-31.899311,152.503209,2
355,2431,NSW,-30.925233,153.053789,2
356,2439,NSW,-31.654722,152.652155,3
357,2440,NSW,-30.375791,153.019648,2
358,2441,NSW,-30.81816175,152.7955009,2
359,2443,NSW,-31.725436,152.747152,2
360,2444,NSW,-31.439614,152.87253,2
361,2445,NSW,-31.583037,152.820899,2
362,2446,NSW,-31.387394,152.466916,2
363,2447,NSW,-30.82662169,152.7145508,2
364,2448,NSW,-30.604667,152.956681,2
365,2449,NSW,-30.62816,152.737629,2
366,2450,NSW,-30.097726,152.658268,3
367,2452,NSW,-30.357168,153.08188,2
368,2453,NSW,-30.36840993,152.6703126,2
369,2454,NSW,-30.459807,152.840266,2
370,2455,NSW,-30.529366,152.96348,2
371,2456,NSW,-30.073663,153.143409,3
372,2460,NSW,-29.320772,153.271074,2
373,2462,NSW,-29.829194,153.187047,2
374,2463,NSW,-29.36691,153.104789,2
