,Dwelling Type,Dwelling Type,Dwelling Type,Dwelling Type,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Household Composition,Household Composition,Household Composition,Household Composition,Household Composition,Household Composition
,House,Semi-detached,Apartment,Other dwelling,"No bedrooms (studios, etc)",1 bedroom,2 bedrooms,3 bedrooms,4 bedrooms,5 bedrooms,6 or more bedrooms,Couple with no children,Couple with children,One parent with children,Other family,Sole person household,Group household
Postcode,,,,,,,,,,,,,,,,,
2142,11662,2901,11047,81,431,2504,11291,6031,1954,600,230,5182,7504,2427,557,5977,1923
2143,6786,674,1791,35,71,370,1960,2403,1286,439,189,1320,2788,915,104,1452,300
2144,17274,3406,15658,129,268,1709,12003,8778,3192,983,405,6207,10139,2824,844,4845,3446
2145,45083,15400,21648,19,162,3780,25715,23132,12684,3562,752,14681,31265,7122,1061,13999,2858
2146,12071,3708,2758,9,38,560,3579,6429,3101,902,211,3141,6652,1675,249,2724,612
2147,32262,1894,1186,55,333,1231,3384,12199,7080,1860,405,6083,10269,3329,415,6029,760
2148,46778,9678,6753,10,234,1821,12610,21523,10454,2272,660,10799,19544,6329,920,10667,2160
2150,3202,1851,27287,400,580,5585,26454,5164,885,207,97,10030,11527,2631,970,10375,4233
2151,10555,2732,6474,8,81,1135,7374,6655,2970,882,225,4350,6498,2110,277,5458,833
2152,6284,1903,2611,3,40,629,3583,4325,1701,448,80,2618,3398,1167,135,3272,338
2153,48868,6182,5617,0,91,1503,7223,15563,15300,5041,1059,11307,21619,4229,327,7845,874
2154,31239,3623,4341,5,12,1289,4889,7414,10919,4334,810,7413,13794,2724,250,5284,417
2155,64131,4506,5177,0,43,1435,5762,6631,25050,8457,1363,9815,27885,4543,334,5621,872
2156,11785,994,113,0,10,148,1025,1571,3556,1830,823,2833,3973,608,32,1547,64
2157,3922,14,20,10,12,63,151,521,956,476,232,674,1127,245,6,305,50
2158,7494,585,301,113,18,117,803,1281,2244,964,512,1558,2668,553,39,1164,93
2159,4578,109,162,16,8,175,409,884,1163,543,272,999,1403,275,21,713,81
2160,20435,5470,9919,178,85,1990,12299,8408,4945,1472,327,5179,11164,4131,619,7634,1697
2161,21623,4529,5104,46,210,1922,7289,7263,4211,1461,407,3764,9038,3446,415,5719,954
2162,14435,2393,1800,25,110,898,2709,5155,2943,779,229,2033,5374,2184,242,2985,330
2163,6434,550,2015,106,114,824,2384,2454,1009,373,83,1053,2268,1402,126,2474,220
2164,17248,2053,912,77,43,803,1839,6258,3786,949,209,2667,5823,2280,198,2914,224
2165,27404,6974,7636,25,153,2162,9251,11989,5540,1760,452,5304,12895,5779,669,6616,696
2166,33251,8631,8765,74,148,1878,12130,13808,6083,2302,836,6033,13597,8273,1059,7473,1577
2167,7122,2342,192,15,11,86,1396,3434,1917,403,62,1467,3517,938,111,1280,148
2168,36833,3554,2057,8,367,1087,2798,12159,9066,1636,444,4125,11574,5854,473,5686,477
2170,72063,12209,21958,79,530,5128,27054,27095,19759,4578,966,15940,33558,13229,1344,20433,2260
2171,35573,1944,136,3,24,100,452,4591,12608,2922,358,3194,13017,2962,174,1754,183
2172,2736,89,15,0,0,24,33,359,879,418,66,518,1020,108,8,134,6
2173,12410,1110,41,0,6,32,192,4483,3530,615,118,1785,4904,1121,80,1048,109
2174,10216,613,672,0,0,368,922,788,3916,1022,142,1293,4200,628,87,908,128
2175,1666,9,11,6,3,14,66,232,426,166,111,277,446,114,14,163,24
2176,43753,2794,1022,25,20,387,1987,12333,11209,3012,731,6227,14404,4710,475,3943,310
2177,14244,1738,430,11,6,377,915,4393,3630,840,182,1863,4548,2335,190,1532,109
2178,3761,40,75,3,0,40,135,488,967,436,192,552,1079,262,38,313,59
2179,14544,429,103,133,14,193,670,1818,5827,998,194,2386,4958,939,115,1433,128
2190,17585,6592,1208,68,112,1180,2494,7288,4533,1236,347,2614,8310,2689,191,3500,290
2191,4593,1301,345,22,15,321,1450,1895,922,305,78,1016,1965,708,77,1221,106
2192,6561,1207,4750,43,56,874,5831,3267,1425,308,141,2484,3710,1806,245,3400,563
2193,9010,1444,6268,218,42,1996,7363,4584,1945,543,119,4604,5124,1780,284,4131,1007
2194,6426,2921,14561,34,166,2322,15447,4209,1683,548,211,6225,6958,3127,701,5971,2152
2195,7970,1211,15554,38,118,1102,14718,3603,1231,430,154,3147,9437,2356,480,4578,1869
2196,20637,5503,5325,236,121,1158,7707,8396,4656,1238,324,4105,9983,3584,449,5181,849
2197,6903,1860,409,18,118,293,681,2549,1932,471,88,1039,2769,1091,94,1195,106
2198,7816,937,136,32,6,46,467,2640,1934,576,82,1232,2657,933,81,895,66
2199,12855,2777,2530,39,126,855,3508,4587,2998,742,197,2275,5549,2187,197,2886,300
2200,20163,7241,16579,371,223,1862,16596,10355,5724,1585,530,6824,14780,6057,743,7989,1421
2203,4918,1658,6151,336,240,2639,8015,3524,1137,247,90,4006,3521,1538,190,5885,1078
2204,10011,5035,9044,514,533,4274,12605,7068,2641,550,140,7479,6206,2633,451,9023,2619
2205,6771,1400,15215,60,154,5087,13823,4829,1540,419,158,8773,5786,1725,642,6455,3079
2206,15774,1571,1498,12,46,490,3151,6298,3192,1093,233,3411,5885,1772,152,3065,371
2207,17585,5452,3341,173,65,1023,6889,8535,3896,1345,324,5011,8700,2792,291,5026,590
2208,10577,944,824,82,27,280,1946,4048,2040,696,126,2115,3671,1381,124,1863,216
