,Dwelling Type,Dwelling Type,Dwelling Type,Dwelling Type,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Number of Bedrooms,Household Composition,Household Composition,Household Composition,Household Composition,Household Composition,Household Composition
,House,Semi-detached,Apartment,Other dwelling,"No bedrooms (studios, etc)",1 bedroom,2 bedrooms,3 bedrooms,4 bedrooms,5 bedrooms,6 or more bedrooms,Couple with no children,Couple with children,One parent with children,Other family,Sole person household,Group household
Postcode,,,,,,,,,,,,,,,,,
2794,9018,380,125,28,43,298,1648,3825,2267,419,103,2536,1881,995,89,3106,194
2795,36515,2768,1057,103,142,1472,5687,12559,11662,2479,626,9533,9366,4331,369,10406,1189
2797,378,0,0,0,0,12,64,140,72,8,0,112,84,35,8,66,12
2798,1939,23,6,3,0,55,122,536,569,152,34,493,549,121,20,273,24
2799,3750,94,27,16,10,151,423,1363,975,210,59,917,921,376,41,955,58
2800,40955,2479,837,227,106,1620,5653,14512,12308,2360,442,9927,10825,4293,362,11191,1134
2803,250,24,0,0,0,3,24,109,76,14,10,100,52,22,0,63,0
2804,2397,51,16,16,0,65,402,858,629,143,34,693,509,223,16,669,58
2805,366,0,0,0,0,9,52,137,72,28,0,100,80,18,0,99,16
2806,722,6,0,0,0,29,101,292,154,40,0,240,140,56,8,174,6
2807,371,25,0,0,10,26,97,142,79,16,0,131,66,39,6,135,14
2808,186,0,0,0,0,6,40,80,32,0,0,68,26,10,8,66,12
2809,186,0,0,0,0,11,38,60,36,8,10,64,28,12,0,49,0
2810,2693,51,59,12,15,120,528,1093,740,148,26,876,535,229,45,970,59
2817,293,0,0,8,14,8,25,103,82,24,8,99,69,16,0,78,0
2818,770,0,0,0,0,6,60,268,194,54,18,194,166,77,0,150,6
2820,5430,167,77,68,28,192,869,2205,1288,238,60,1345,1028,708,89,1712,170
2821,3967,114,28,13,11,116,441,1436,1069,228,40,960,894,435,38,1014,74
2822,348,3,0,3,0,10,62,94,87,22,6,85,92,29,0,82,6
2823,1086,0,32,18,0,53,159,411,272,42,28,237,232,108,26,356,20
2824,1704,70,20,7,0,89,253,687,432,97,22,464,339,176,18,582,44
2825,1895,71,3,18,0,65,331,690,473,84,30,467,462,177,32,565,32
2826,149,0,0,0,0,0,15,51,39,19,8,30,49,8,0,40,0
2827,3019,54,71,25,16,138,520,1128,766,148,18,853,592,380,38,893,54
2828,668,0,0,0,0,24,92,227,170,44,10,165,125,62,0,211,6
2829,2368,47,60,13,0,101,398,860,540,99,42,525,428,362,32,690,67
2830,36131,2441,1798,106,125,1410,6439,11815,11732,1886,388,9069,9642,4222,376,9965,1210
2831,1563,3,6,3,0,47,117,486,382,115,16,358,406,117,0,263,18
2832,1189,27,16,131,17,126,213,402,284,55,30,333,233,154,21,447,33
2833,436,13,0,11,0,35,67,154,98,23,0,115,71,64,6,131,20
2834,1056,43,19,279,41,269,450,458,205,35,0,394,219,208,20,777,73
2835,2870,74,89,41,11,142,361,1199,826,102,28,725,695,280,30,971,53
2836,553,16,4,7,17,71,111,209,85,28,24,104,92,106,9,245,4
2838,184,3,0,0,0,3,16,45,49,6,6,45,31,34,0,61,12
2839,787,59,7,12,6,41,177,305,186,19,11,166,115,152,12,297,38
2840,1873,9,17,10,4,106,215,611,422,106,24,377,439,193,34,509,24
2842,631,0,0,14,8,17,123,197,150,40,10,123,154,57,6,203,28
2843,1000,17,0,3,0,72,132,354,227,36,38,269,220,62,8,277,18
2844,1144,15,3,9,8,54,161,420,293,90,14,336,214,112,6,359,14
2845,1805,35,6,39,12,8,209,667,492,84,12,384,466,188,17,423,48
2846,211,4,5,0,8,16,68,69,48,6,0,66,38,12,0,90,0
2847,2183,14,6,11,0,35,367,923,445,80,19,553,446,249,20,608,26
2848,1340,18,12,4,0,72,413,682,212,28,0,349,174,196,8,669,35
2849,1439,12,5,0,12,73,200,517,340,78,32,451,283,90,9,414,36
2850,16387,957,65,155,76,564,2202,5696,4573,960,245,4378,4187,1467,143,4128,472
2852,3309,46,30,20,12,90,454,1158,820,178,20,839,770,302,22,826,48
2864,736,6,0,7,4,36,58,275,197,32,6,237,166,44,12,160,14
2865,845,0,11,7,0,27,90,295,219,45,0,240,203,54,3,188,8
2866,2422,43,38,300,16,83,392,825,652,221,76,679,745,224,15,708,28
2867,556,13,0,0,0,14,46,192,121,28,18,139,150,38,0,102,10
2868,509,0,0,3,0,10,57,163,132,40,14,139,120,48,0,104,6
2869,1215,23,10,13,13,65,228,513,239,56,12,328,227,169,11,407,38
2870,10264,292,391,43,65,280,1661,3942,2756,521,114,2569,2427,1139,80,3067,233
2871,7546,256,201,81,27,197,1384,3007,1894,378,69,2076,1634,853,55,2423,167
2873,455,0,9,0,6,33,61,193,106,35,12,155,117,9,0,157,16
2874,284,0,0,7,0,10,32,124,81,14,0,79,61,16,0,93,0
2875,690,0,6,0,0,42,69,244,197,31,12,208,147,68,12,199,6
2876,405,0,0,0,5,6,26,120,112,34,6,92,96,40,0,70,6
2877,2997,46,18,16,9,74,405,1092,681,197,65,707,679,279,47,839,46
2878,198,6,5,0,0,8,30,70,51,9,6,60,41,20,0,61,0
2879,451,5,4,0,0,44,108,177,85,15,11,131,60,61,8,195,16
2880,15599,265,235,46,42,741,3031,8044,2501,449,127,3936,2956,2119,201,5757,331
2898,292,49,13,0,0,59,64,129,79,10,0,112,93,17,0,118,9
2899,1788,17,19,0,4,150,457,718,334,66,8,571,336,148,20,690,42
2900,157,1510,2300,0,51,1501,2169,2021,435,10,0,1744,819,636,62,2720,253
2902,13386,1456,149,0,0,186,1328,5765,4190,812,166,3436,3839,1614,148,3239,323
2903,8651,554,41,0,5,274,732,3010,2650,548,80,2093,2442,842,71,1722,160
2904,12065,578,76,0,0,68,654,3682,4327,946,139,2908,3636,1062,75,2012,161
2905,24559,2580,487,0,8,164,1502,12101,6704,1241,214,5503,7855,2993,240,5014,502
2906,14138,2810,511,0,12,133,1006,7390,4633,893,154,3535,5280,2018,103,3229,237
2911,3705,594,386,0,12,270,937,1049,1307,263,38,974,1598,268,29,863,138
2912,3703,1550,2956,14,34,1824,2780,1587,1806,328,46,2494,2282,709,143,2320,570
2913,28455,7619,2050,0,3,1343,5129,13831,9118,1972,238,7906,12145,3376,336,6926,1229
2914,25990,5126,2418,0,15,1441,3062,7719,10569,1574,153,5235,11893,2542,282,3924,926
3000,28,93,36798,18,2723,21489,34988,4758,193,28,21,15592,2978,1708,2302,31107,11449
3002,177,1250,2857,15,162,1821,2983,1565,400,45,43,2512,672,237,96,3087,509
3003,122,1666,5484,42,73,3697,5639,1565,285,58,23,3527,1275,454,209,4509,1541
3004,6,18,9944,4,158,4945,8780,2945,145,4,4,5488,1737,817,259,7686,1155
3006,3,323,20683,13,83,10268,20344,4516,134,15,18,10750,2889,1415,762,15325,4558
3008,90,293,13518,0,130,7389,12198,2347,268,20,0,7545,2796,849,405,8908,2059
3011,9416,3198,7252,143,340,4600,11044,6591,1356,191,63,6418,4262,1895,558,9158,2317
3012,15846,6246,3088,104,67,2407,9683,10071,2693,377,93,6172,6775,2484,494,8033,1869
3013,11542,2186,1042,131,9,947,4651,5881,1831,285,55,3660,4305,1168,184,3768,768
3015,12026,4872,774,55,10,698,4174,7781,3009,403,50,3995,6021,1592,211,3954,547
3016,9330,4443,1327,24,28,1290,4038,6001,2864,552,55,3812,5047,1391,140,4355,256
3018,9026,3210,617,26,55,618,3785,5988,2249,336,34,3612,3575,1270,131,4284,309
3019,4773,4070,285,34,16,757,2366,3618,1312,284,50,1732,2310,1364,239,2274,699
3020,33065,6399,2012,38,53,1803,6241,18234,5807,1021,169,7171,10276,5182,746,8625,1990
3021,42629,5405,2763,78,73,787,6174,23897,6282,1004,204,8289,12423,6912,951,8916,1778
3022,2255,500,11,39,6,94,585,1465,274,30,12,511,634,362,63,838,120
3023,56654,4893,622,12,45,413,3379,19512,14994,2355,285,7764,19726,5869,606,6713,958
3024,31242,1161,32,4,5,65,748,8703,10501,982,108,4174,10259,3090,248,3024,658
3025,8598,3138,265,20,18,409,1678,6630,1692,206,25,2593,3414,1362,177,2955,308
3026,8220,143,0,60,4,100,171,1383,2729,290,44,695,2794,624,49,548,122
3027,8334,441,281,0,6,87,479,1302,3362,571,42,1249,3015,491,98,738,358
3028,23450,2319,811,16,21,204,4104,13044,4218,491,83,5306,7199,3006,325,5910,810
3029,111241,9654,1847,11,41,439,5506,30658,37698,4055,534,15390,40819,8565,1237,11430,2918
3030,101868,9904,1544,57,85,823,8183,30553,36749,4635,480,17189,36595,9858,1059,15557,2453
3031,3935,7199,5276,51,116,4216,9623,6068,1428,182,33,5422,3895,1933,389,8618,1778
3032,13238,7464,7536,43,49,3091,12998,9926,4192,796,121,8051,8054,2688,548,10218,2052
3033,11941,2335,95,24,18,61,1012,6753,3406,491,67,3121,4423,1472,125,2526,259
3034,9083,2453,38,31,0,99,1149,5314,2717,541,47,2658,3462,1191,145,2368,207
3036,5339,435,0,0,21,55,553,1783,1695,380,41,1285,1734,456,17,1043,48
3037,41633,7189,484,5,7,453,2140,15903,13344,2082,285,6685,16640,4801,388,5645,557
3038,23320,2407,107,19,28,95,825,8577,7614,1279,192,5111,7972,2357,155,3016,271
3039,8557,2482,4206,46,118,3412,6028,4904,2231,469,76,4608,3986,1121,260,6545,970
3040,15653,4682,5039,61,39,2929,8502,8241,4820,1142,144,6071,7857,2118,304,8665,1053
3041,9052,2108,1365,31,13,683,2783,4411,2603,607,120,2610,4130,1083,123,3099,292
3042,11708,4317,204,25,19,201,3114,8732,2775,408,71,3678,4789,1870,255,4504,398
3043,14108,2892,92,3,14,304,2597,8514,3144,448,68,3733,4606,2028,210,4379,338
3044,17999,8352,864,49,45,744,9930,10987,3566,574,108,6390,8498,2604,363,7227,1209
3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3046,22120,10397,1832,30,33,1011,11147,15105,3968,617,108,8149,9533,3545,611,9052,1607
3047,15093,2162,2137,6,71,576,3243,8582,1513,303,79,2505,5069,2555,336,3517,727
3048,14547,2196,123,0,14,83,952,8029,1681,257,54,1891,4740,2238,210,1965,344
3049,8119,1191,32,0,3,178,793,3966,2172,374,50,1860,2644,1084,82,1834,143
3051,687,4160,8101,64,281,4610,9285,3608,881,143,67,4447,2724,1547,374,7738,2356
3052,150,2055,2286,10,53,1335,2903,1095,589,294,45,1659,914,354,114,2317,1021
3053,188,2842,9560,85,825,5859,9669,2956,699,201,68,4423,1433,1016,596,9371,3756
3054,738,5539,1303,116,46,945,4354,3380,1033,186,52,2962,1788,649,181,2905,1610
3055,6826,2858,4264,74,72,3379,7820,4155,1397,221,48,4022,3174,1129,272,7118,1618
3056,10076,6870,6072,320,290,4948,13306,7773,2140,357,68,8104,4432,1592,469,10560,4093
3057,3714,3633,5076,94,70,4267,8282,3836,836,102,27,4825,2276,970,256,7089,2179
3058,24316,6708,2033,64,139,2123,10254,12786,4427,666,138,7648,8865,2922,509,8287,2670
3059,20088,510,6,0,18,45,200,3351,7482,1393,214,2991,7046,1401,105,1220,102
3060,11477,1824,55,30,18,180,2325,5784,1381,254,34,2035,3674,1241,168,2550,467
3061,4282,210,73,119,26,319,271,2043,453,94,20,610,1201,464,50,1005,76
3062,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
3063,532,0,0,0,0,0,12,82,148,58,28,84,160,32,8,43,0
3064,102099,6695,702,16,48,280,4592,26583,30742,3994,496,11774,36476,8485,836,8764,1549
3065,359,3768,4994,64,289,2501,6219,3343,768,159,35,3796,1611,1049,234,5212,1659
3066,624,2412,5281,37,146,3729,6617,2204,273,29,3,3849,1152,912,197,5689,1399
3067,1149,2423,4504,260,91,3189,6330,2357,403,81,26,3828,1513,507,178,5294,1437
3068,3823,9533,4496,100,60,3391,9402,7225,2239,362,78,6345,4771,1442,242,7580,2615
3070,13783,6269,3565,133,126,4077,9039,8658,2920,513,93,6526,6268,1848,271,8368,2383
3071,11107,3831,2926,117,22,3481,7569,6333,1877,291,65,4753,4564,1607,238,7256,1476
3072,20456,7387,4078,260,260,3467,12982,11858,3460,625,145,7918,8166,3185,680,10631,2774
3073,33444,13094,1393,164,75,3316,17990,19307,5207,929,203,11547,12159,5202,883,15629,2581
3074,16938,1512,995,20,38,376,2600,9581,2581,316,78,3904,4838,2273,327,3998,513
3075,20089,913,1077,11,16,240,2192,9869,3497,491,113,3821,5900,2401,289,3712,560
3076,26423,4617,297,4,41,394,2842,11981,6830,803,118,4766,9690,3385,327,4576,651
3078,6674,2510,2152,24,46,2299,4163,3909,1683,335,55,2996,3150,887,131,4692,709
3079,10879,2604,2670,17,53,1494,5038,5529,3005,730,106,4263,4877,1351,177,4880,527
3081,8570,4230,290,3,26,827,4872,5714,1328,237,52,2891,3142,1720,257,4319,931
3082,24779,2411,477,6,13,87,2209,11217,6420,960,128,5315,8318,2705,259,4173,577
3083,23657,3898,1936,0,74,1281,4786,11004,6523,1237,290,6228,7784,2813,460,6460,1795
3084,20285,2786,2614,35,14,1344,5922,9068,5296,1055,165,6036,7839,2106,183,6218,673
3085,11174,1792,188,13,64,241,2239,5478,2749,441,47,2801,4081,1141,80,2974,283
3087,8291,555,49,4,0,156,997,4015,1718,243,50,1883,2456,853,74,1769,225
3088,23272,2387,354,10,40,527,3416,10136,5994,1154,141,5792,7857,2301,175,5108,366
3089,11619,466,11,0,38,31,579,3508,3474,762,88,2194,3978,946,55,1306,82
3090,2376,5,4,0,0,3,27,282,786,318,55,369,875,76,14,137,12
3091,1522,0,0,0,0,6,28,251,476,150,44,296,506,58,6,97,0
3093,3058,541,81,0,0,76,800,1167,890,275,48,938,1024,308,32,946,49
3094,8119,793,54,0,11,118,1433,3877,1691,308,42,2027,2569,882,78,1867,115
3095,25390,892,986,10,7,320,1954,8159,7736,1666,291,5604,8945,2004,123,3407,158
3096,1806,0,3,0,6,20,56,461,524,108,30,314,580,146,18,158,8
3097,1349,6,0,3,0,18,78,240,349,150,52,300,392,71,0,108,16
3099,4709,47,5,0,12,135,290,1475,1150,242,86,997,1419,372,21,585,60
3101,13493,4909,4140,46,33,990,7502,7355,4617,1584,268,5867,6744,2063,328,6362,1264
3102,4759,1140,497,3,15,53,1485,2137,1365,345,42,1277,2075,634,59,1195,245
3103,10186,3295,1444,19,14,805,4213,4205,3146,1385,212,3287,4748,1583,145,3990,347
3104,17843,2353,442,43,6,146,1814,5617,5489,1863,306,3257,7120,1823,152,2745,292
3105,8856,1316,678,9,10,119,1007,4284,3077,623,74,2525,3210,1064,110,2129,224
3106,13029,2614,346,0,18,165,1376,3548,5614,1507,327,3668,5274,1188,112,2323,161
3107,11195,2224,126,13,0,53,966,5076,4096,728,107,3003,4274,1299,131,2223,202
3108,14582,4673,4874,0,36,1625,7109,8082,5994,1234,186,7008,6788,2680,381,6875,807
3109,20267,6529,3036,0,36,615,4424,10338,8446,1592,204,6409,10381,2894,284,5455,465
3111,10697,862,242,0,0,204,1267,3094,3353,995,176,2445,3731,852,33,2005,132
3113,8211,22,7,3,0,67,274,1806,2399,802,183,1492,2734,528,12,737,77
3114,3678,0,4,0,0,0,34,508,1146,466,136,684,1266,134,8,220,16
3115,3662,0,6,0,0,14,72,649,1178,426,96,795,1194,164,12,269,24
3116,11156,118,24,0,0,41,438,3906,3010,588,162,2311,3319,927,63,1456,143
3121,5681,10784,12479,149,186,9741,18579,10368,1942,269,64,11427,5701,2540,743,16359,4847
3122,6939,3725,9474,76,391,5936,11247,5290,2632,784,166,6904,4985,1398,457,10786,2217
3123,6119,2733,5098,8,190,2831,6852,3947,2003,600,84,4423,3854,1103,222,5957,1106
3124,14011,3823,2423,112,33,750,5735,5845,4627,1549,218,5071,6396,1642,218,4873,727
3125,8778,3231,1466,0,181,967,3199,4994,2897,653,156,3010,3425,1333,271,3937,1213
3126,5338,1445,559,43,33,230,1551,2054,1783,695,123,1875,2352,601,51,1542,115
3127,12623,3601,1450,20,4,411,5389,5094,4044,1137,159,4338,5679,1434,189,4241,471
3128,9608,5040,6503,9,302,3140,10664,5875,2835,655,139,6055,5256,2272,489,7628,2189
3129,11653,4865,823,11,8,252,3513,7194,3661,799,85,3621,5464,1833,261,3744,761
3130,25125,4945,1653,15,281,1727,5190,11868,6760,1558,203,6581,9708,2583,298,7679,998
3131,16670,4728,495,11,23,1160,4438,8692,4258,750,120,4617,6512,2003,280,5729,729
3132,11322,4503,496,0,0,701,3857,7002,3009,528,90,3884,5101,1436,165,4154,580
3133,19307,2512,215,18,4,279,1813,6588,6617,1329,231,4516,6965,1715,164,3311,332
3134,29553,1608,1715,12,65,1145,6927,9823,7382,1454,241,7087,9447,2785,250,7005,822
3135,18662,967,108,13,10,266,3650,7050,3794,831,110,3755,5771,1650,154,4029,436
3136,39795,3222,985,22,36,747,8037,17160,9108,1689,223,9529,12118,4448,342,9975,902
3137,12681,1229,81,4,6,234,2118,5899,2726,529,103,3000,3757,1481,119,3141,256
3138,21471,638,30,6,6,299,1691,8108,4940,1070,202,4271,6286,2096,166,3255,351
3139,13588,10,18,0,25,145,830,4883,2896,712,212,2916,3820,1035,72,1824,174
3140,14404,2024,20,80,36,755,2944,5663,3804,818,160,3946,4457,1576,127,3999,299
3141,2372,3636,16338,30,682,11843,17924,6091,1070,230,72,10353,3227,1668,628,19126,3240
3142,4637,2375,4643,7,133,1579,5885,4376,1772,658,193,4585,2741,965,151,5515,816
3143,2986,1574,4144,15,108,2329,5249,2978,915,224,36,3231,1961,812,159,5007,772
3144,5732,1775,2263,220,38,1093,3725,3246,2014,516,65,3015,2808,829,132,3724,437
3145,13925,4720,3210,225,172,2289,6643,6760,4341,1213,198,5417,6571,1663,294,6564,1517
3146,16287,4120,4617,7,18,2125,7628,7422,5095,1522,168,6008,8067,1850,339,7139,875
3147,10388,2039,1698,76,11,803,2576,4837,3326,756,74,2801,4628,1383,143,3208,440
3148,5499,2332,1271,8,4,542,2172,3852,1811,298,74,2289,2573,928,167,2217,705
3149,24449,3307,6430,13,14,306,3871,12701,8976,2360,352,6945,11604,3004,386,5817,1057
3150,51070,4900,4324,4,59,1436,5944,16145,17713,4972,780,12229,18972,4815,543,9577,1397
3151,8051,1724,540,4,10,334,1469,4184,2328,524,107,2437,2953,959,113,2176,468
3152,29385,3544,542,0,32,886,3320,9430,9640,2405,386,6882,10486,2734,249,5531,545
3153,14933,4143,1023,8,29,662,5282,8629,3457,571,132,4531,5529,2458,250,5666,631
3154,4023,143,5,10,3,84,279,1560,967,217,34,868,1221,351,25,639,58
3155,17280,4667,474,13,27,557,5627,10365,3704,647,141,5355,5833,2709,289,6418,741
3156,34489,1989,364,44,8,613,4034,13158,8352,2081,397,7229,10754,3492,294,6526,687
3158,6520,20,51,0,0,64,500,2134,1631,393,54,1318,1980,577,28,839,100
3159,2428,5,0,0,0,32,116,700,613,186,36,476,754,183,12,234,46
3160,8585,71,17,9,9,201,688,2785,2101,500,142,1765,2477,767,50,1274,146
3161,7293,3809,4596,16,75,2403,6842,4863,2421,807,206,4986,4288,1183,204,5998,1217
3162,9803,5310,1811,37,0,1120,4812,6241,3552,816,131,4582,5474,1406,160,4540,695
3163,13218,8973,8902,136,151,6765,16022,9650,3774,698,141,9747,8947,2490,568,13591,2302
3165,21173,4116,3873,36,34,571,4789,11287,6796,1085,137,5526,10272,2924,267,5385,554
3166,16066,4511,2974,12,62,1320,7167,8764,3830,730,166,5634,6785,2159,441,5786,1501
3167,8210,857,407,0,0,186,1613,3587,1863,302,82,1946,2905,794,104,1674,310
3168,7260,7283,3219,9,153,1621,6597,6445,2715,640,322,4454,3542,1395,671,5090,3655
3169,13914,4803,1131,0,33,628,3998,8376,3102,610,98,4138,5663,1978,351,3792,1200
3170,16050,2973,26,13,0,92,882,7858,4812,868,118,3820,5963,1629,224,2668,532
3171,15948,3837,1193,117,46,1463,3622,7487,2566,697,191,3631,5210,2179,493,3888,1097
3172,19689,2308,333,72,60,168,2651,7705,4549,924,196,3843,6388,2241,244,3381,425
3173,26890,2042,232,5,15,142,1279,7943,7654,1702,219,4132,9140,2475,261,2663,471
3174,27859,4234,4986,13,80,2146,8988,14818,3944,740,198,6769,9655,4264,704,8503,1590
3175,33047,11588,4202,123,118,2136,15230,16565,5878,1264,282,8543,13514,5702,726,11619,2501
3177,9042,1876,19,5,10,468,2051,5093,855,164,35,1576,2664,1317,174,2546,668
3178,31114,1407,156,14,7,180,2154,9134,9890,1916,216,6255,10595,2362,222,3900,395
3179,5698,153,33,0,0,26,192,2132,1445,338,32,993,1793,518,36,744,113
3180,6142,1271,7,4,0,46,749,3389,1691,272,63,1750,2217,700,65,1388,151
3181,3786,5053,8896,62,369,7844,12382,5514,1158,197,69,7247,3021,1190,433,12941,3043
3182,1762,3252,14069,728,1036,12070,15731,3680,991,195,90,8629,3202,1493,331,18266,2748
3183,4423,3472,8677,34,176,4311,11314,4282,1277,418,191,5417,3892,1224,277,9316,2189
3184,3058,2370,8446,0,144,4489,10626,3948,1055,230,36,4928,3364,1368,223,9434,1411
3185,6024,2392,4223,78,41,2499,6204,3851,1637,422,80,3792,3468,1071,166,5568,870
3186,14369,4162,2945,99,10,1221,6834,7289,4461,1456,239,6323,6442,1868,170,6590,431
3187,11811,3312,593,25,100,643,2893,5096,3909,980,128,3312,5230,1331,95,3701,259
3188,12336,3295,1863,86,20,1006,4961,5905,3732,852,120,4119,5623,1599,123,4908,409
3189,4974,466,570,7,19,388,1411,2281,983,178,45,1264,1754,579,71,1504,218
3190,7076,2868,1389,74,3,693,4608,4251,1888,249,36,2936,3507,1268,97,3749,334
3191,6152,2040,1785,44,74,1072,3298,3370,2078,556,63,3010,3025,847,42,3513,207
3192,15403,4428,3052,59,36,962,8010,9189,3757,637,103,5452,6947,2516,254,7169,632
3193,15031,3415,790,139,5,277,3181,6977,5044,1208,105,5289,6183,1369,109,3927,172
3194,6881,4150,1571,50,19,1899,4996,4684,2188,437,74,3729,3606,1468,126,5183,329
3195,24773,8067,2947,66,52,1676,8283,12514,8319,1523,214,7821,12017,3368,261,8840,594
3196,14165,5950,5006,182,20,910,9692,11912,3912,615,92,6846,7497,3063,259,9156,750
3197,7344,3130,1089,14,23,298,3242,5212,2470,444,64,3124,3303,1433,60,3735,288
3198,13069,2781,254,59,63,852,4261,8145,2198,363,55,3586,3805,2191,227,5933,536
3199,43665,6407,1556,84,339,2218,11617,21573,10435,1761,324,11634,12202,6780,491,16288,1624
3200,4695,239,4,5,0,230,343,3333,380,50,18,784,836,911,98,1562,245
3201,17544,3127,69,92,48,528,2688,10530,3678,499,66,4064,5409,2830,222,5259,570
3202,2369,191,124,0,0,129,303,941,659,44,12,434,872,250,22,475,48
3204,20232,6615,4805,108,56,1983,9980,9911,6416,1226,178,6873,10606,3319,310,7802,1138
3205,688,4393,5343,94,196,3598,7568,3890,758,86,14,4550,2414,1128,226,7099,958
3206,1829,6099,1434,36,62,1300,3968,4382,1586,266,47,3166,3371,912,105,3830,354
3207,1237,8275,6608,31,114,3488,9582,7777,1570,190,31,6503,4713,1943,219,8691,933
3211,1212,0,4,3,0,8,43,314,321,82,26,216,347,85,0,129,28
3212,16056,1134,70,5,0,320,1709,5673,5025,514,97,3692,4883,1524,117,2979,306
3213,4364,67,76,0,0,24,326,966,1419,278,84,862,1364,311,18,542,60
3214,20316,1386,176,162,39,1212,3987,11609,2028,181,48,3748,3977,3842,400,6805,924
3215,18106,1863,493,43,31,822,3823,10016,3523,531,86,4995,4679,2251,216,6264,718
3216,49891,5075,186,248,96,1967,9419,20959,12790,2071,400,12888,14131,4556,486,14312,2098
3217,18757,642,0,42,21,56,440,4251,8696,464,80,3754,5621,1586,152,2189,838
3218,11821,1017,1394,79,57,1647,3748,5930,2378,280,48,3297,3577,1256,106,5376,680
3219,16644,1886,234,9,33,1392,4554,9602,2391,329,60,4469,3529,2432,255,7092,888
3220,11971,2633,1138,61,85,1380,4775,5930,2981,672,118,4287,3899,1236,138,5691,857
3221,780,0,0,0,0,0,34,172,201,78,20,166,224,46,10,73,6
3222,17048,392,47,0,15,108,1482,6923,5216,659,109,4931,4119,1584,130,3610,305
3223,8066,454,37,29,5,165,1220,4338,2325,292,53,3512,1377,658,95,2728,187
3224,13444,526,5,129,15,169,1663,5382,3774,488,81,3709,3488,1314,102,3014,217
3225,4377,317,49,59,6,77,816,2328,1277,202,48,2016,913,269,12,1568,38
3226,15691,747,31,21,19,148,1585,6247,4678,572,104,4441,4318,1223,62,3225,303
3227,4613,226,82,9,0,82,468,1804,1369,286,44,1382,1310,322,34,941,61
3228,20977,1129,71,28,11,161,1651,7243,6808,1034,137,5093,6534,1386,103,3470,611
3230,2606,154,14,23,4,55,291,1315,678,139,41,997,586,158,8,733,73
3231,1365,9,7,6,0,17,176,610,387,66,10,524,275,98,14,366,16
3232,928,82,33,18,8,99,184,392,251,84,38,358,175,79,12,391,45
3233,1734,155,45,37,23,122,402,970,373,76,27,676,355,173,18,767,66
3234,189,0,0,5,6,0,46,84,40,3,0,54,34,6,0,80,10
3235,407,0,0,0,0,16,48,180,68,8,12,130,92,44,0,62,6
3236,198,5,0,0,0,8,35,100,24,6,0,62,26,32,0,48,0
3237,211,0,0,0,10,6,60,80,32,16,0,72,40,16,0,70,6
3238,211,0,0,3,6,13,42,86,49,8,6,78,35,18,0,77,0
3239,412,0,3,10,6,9,62,186,76,24,0,129,80,30,0,118,10
3240,2083,0,3,0,0,20,96,552,568,124,30,424,670,98,0,193,30
3241,2751,60,0,12,11,76,312,1135,645,104,22,751,676,224,12,640,54
3242,873,0,0,0,0,28,132,346,178,32,10,230,222,46,0,210,12
3243,353,0,0,0,0,10,46,138,80,8,0,132,84,6,8,62,8
3249,3133,0,0,4,10,40,226,1165,767,158,36,866,758,184,18,587,40
3250,10933,721,12,82,56,515,1766,5510,2409,273,59,2774,2442,1100,141,3964,416
3251,502,8,0,0,0,12,62,236,124,8,0,134,118,32,6,146,10
3254,299,3,0,0,0,0,26,136,56,8,0,66,70,32,0,60,0
3260,4233,125,8,3,6,106,629,2016,951,151,40,1244,923,327,36,1311,97
3264,1948,95,10,7,12,66,357,970,393,56,16,572,404,219,23,635,58
3265,2603,0,0,0,13,50,168,876,662,140,32,621,686,176,22,434,22
3266,2666,76,0,20,6,88,269,1252,623,88,22,752,608,235,24,696,45
3267,192,0,0,0,0,0,14,71,56,10,0,71,50,10,0,24,0
3268,2311,17,0,0,5,46,167,1006,576,78,8,649,565,158,22,484,43
3269,591,9,0,12,0,6,62,230,140,18,3,148,142,43,6,122,12
3270,293,0,0,0,0,0,50,154,64,0,8,96,52,18,0,110,0
3271,149,3,0,0,0,0,14,49,51,14,0,49,30,24,0,47,0
3272,1445,14,0,3,0,50,204,651,340,50,22,422,267,150,18,452,28
3273,122,0,0,0,0,0,8,44,12,24,6,31,26,10,0,20,8
3274,222,0,0,10,6,6,26,90,42,20,0,65,42,30,0,49,0
3275,440,0,0,0,0,0,8,126,116,14,0,92,132,28,0,40,0
3276,404,0,0,4,0,16,28,179,84,28,0,118,90,26,0,85,0
3277,1527,0,0,131,0,18,141,590,408,96,26,454,432,141,25,308,20
3278,323,0,0,0,0,8,6,100,94,22,0,88,78,22,0,40,0
3279,264,0,0,0,0,6,24,58,68,24,0,50,86,6,0,20,14
3280,27155,2537,874,61,85,1162,6878,12768,6317,937,150,7709,6889,3305,331,9582,958
3281,1788,5,0,0,0,3,87,432,522,128,14,382,540,94,8,179,24
3282,2297,59,0,0,10,47,217,903,603,80,26,630,591,205,22,442,22
3283,1335,4,0,4,0,14,76,436,366,54,18,366,344,98,8,190,16
3284,3199,210,12,8,5,74,615,1496,735,129,20,1072,752,264,27,964,51
3285,1143,0,0,0,14,20,124,422,286,50,18,333,296,56,0,228,8
